ve,vf,vr,df,dr,d_safe_f,d_safe_r,delta_df,u_total
0.02009776830360862,0.21722076680179037,0.25812014760659585,0.43981468910209925,1.80990577249135,0.26406843781252604,0.4306841033246171,0.17574625128957322,-0.25028497972809743
0.0,0.21721091212902122,0.2581207502716028,0.4615367657822783,1.7840937577306906,0.25,0.43068452519012196,0.2115367657822783,-0.2484190813945019
0.0,0.21720155018989054,0.2581213228033594,0.4832578569951804,1.7582816827035304,0.25,0.4306849259623516,0.23325785699518042,-0.2465670935423899
0.0,0.2171926563477164,0.2581218667085282,0.5049780120141695,1.7324695504231944,0.25,0.4306853066959697,0.2549780120141695,-0.24472891251982504
0.0,0.21718420719765094,0.2581223834184386,0.5266972776489411,1.7066573637523417,0.25,0.430685668392907,0.27669727764894114,-0.24290443532183265
0.0,0.21717618050508877,0.2581228742928534,0.5484156983687063,1.680845125410498,0.25,0.43068601200499734,0.2984156983687063,-0.24109355984542302
0.0,0.21716855514715472,0.25812334062354747,0.5701333164192152,1.6550328379812125,0.25,0.4306863384364832,0.32013331641921516,-0.23929618460385202
0.0,0.21716131105711736,0.2581237836377068,0.5918501719339306,1.6292205039188576,0.25,0.43068664854639477,0.34185017193393064,-0.23751220904949283
0.0,0.21715442917158187,0.25812420450115825,0.6135663030396423,1.603408125555087,0.25,0.4306869431508108,0.3635663030396423,-0.23574153326909789
0.0,0.21714789138032314,0.2581246043214371,0.6352817459568005,1.5775957051049712,0.25,0.43068722302500595,0.38528174595680054,-0.23398405802411926
0.0,0.21714168047862736,0.258124984150702,0.6569965350948328,1.5517832446728275,0.25,0.43068748890549136,0.4069965350948328,-0.232239685001288
0.0,0.21713578012201637,0.25812534498850365,0.6787107031426955,1.5259707462577572,0.25,0.43068774149195255,0.42871070314269555,-0.23050831648535378
0.0,0.21713017478323593,0.25812568778441525,0.7004242811548972,1.5001582117589067,0.25,0.43068798144909065,0.4504242811548972,-0.22878985546225997
0.0,0.2171248497113945,0.25812601344053127,0.7221372986332207,1.474345642980465,0.25,0.4306882094083719,0.47213729863322074,-0.22708420575816723
0.0,0.21711979089314515,0.25812632281384146,0.7438497836043602,1.448533041636412,0.25,0.43068842596968904,0.49384978360436016,-0.22539127185486643
0.0,0.21711498501580825,0.25812661671848613,0.7655617626936747,1.4227204093550279,0.25,0.43068863170294025,0.5155617626936747,-0.22371095898333251
0.0,0.21711041943233822,0.2581268959278986,0.7872732611952555,1.3969077476831793,0.25,0.43068882714952905,0.5372732611952555,-0.22204317301994103
0.0,0.2171060821280417,0.2581271611768404,0.8089843031384893,1.3710950580903893,0.25,0.4306890128237883,0.5589843031384893,-0.2203878206227786
0.0,0.21710196168895998,0.25812741316333515,0.8306949113512935,1.3452823419727054,0.25,0.43068918921433463,0.5806949113512935,-0.2187448090634847
0.0,0.21709804727183235,0.2581276525505051,0.8524051075201895,1.3194696006563718,0.25,0.4306893567853536,0.6024051075201895,-0.21711404637805554
0.0,0.2170943285755611,0.25812787996831665,0.8741149122473727,1.2936568354013211,0.25,0.4306895159778217,0.6241149122473727,-0.21549544116479744
0.0,0.21709079581410343,0.25812809601523756,0.8958243451049288,1.2678440474044894,0.25,0.43068966721066626,0.6458243451049288,-0.2138889028775174
0.0,0.21708743969071864,0.25812830125981245,0.9175334246863391,1.2420312378029656,0.25,0.4306898108818687,0.6675334246863391,-0.2122943414914248
0.0,0.2170842513735031,0.2581284962421586,0.939242168655411,1.2162184076769844,0.25,0.43068994736951105,0.689242168655411,-0.21071166773695485
0.0,0.2170812224721483,0.2581286814753874,0.9609505937927613,1.1904055580527686,0.25,0.4306900770327712,0.7109505937927613,-0.20914079299043678
0.0,0.21707834501586126,0.2581288574469548,0.9826587160399761,1.16459268990523,0.25,0.43069020021286836,0.7326587160399761,-0.20758162933813742
